Cable ID,Injected,Failed,Age_at_first_Fault,1km bins 
179,0,0,0,0-1000
180,0,0,0,0-1000
181,0,1,36,2000-3000
182,0,0,0,4000-5000
183,0,0,0,0-1000
184,0,0,0,0-1000
185,0,0,0,1000-2000
186,0,1,0,4000-5000
187,0,0,0,0-1000
188,0,0,0,0-1000
189,0,0,0,0-1000
190,0,0,0,0-1000
191,1,0,0,0-1000
192,0,0,0,0-1000
193,0,0,0,5000-max
194,0,0,0,0-1000
195,0,0,0,0-1000
196,0,0,0,0-1000
197,0,0,0,0-1000
198,0,0,0,0-1000
199,0,0,0,0-1000
200,0,0,0,0-1000
201,0,0,0,0-1000
202,0,0,0,0-1000
203,0,0,0,0-1000
204,0,0,0,0-1000
205,0,0,0,0-1000
206,0,0,0,0-1000
207,0,0,0,0-1000
208,0,0,0,0-1000
209,0,0,0,0-1000
210,0,0,0,0-1000
211,0,0,0,0-1000
212,0,0,0,0-1000
213,0,0,0,0-1000
214,0,0,0,0-1000
215,0,0,0,0-1000
216,0,0,0,0-1000
217,0,0,0,0-1000
218,0,0,0,0-1000
219,0,0,0,0-1000
220,0,0,0,0-1000
221,0,0,0,0-1000
222,0,0,0,0-1000
223,0,0,0,0-1000
224,0,0,0,0-1000
225,0,0,0,0-1000
226,0,0,0,0-1000
227,0,0,0,0-1000
228,0,0,0,0-1000
229,0,0,0,0-1000
230,0,0,0,0-1000
231,0,0,0,0-1000
232,0,0,0,0-1000
233,0,0,0,0-1000
234,0,0,0,0-1000
235,0,0,0,0-1000
236,0,0,0,0-1000
237,0,0,0,0-1000
238,0,0,0,0-1000
239,0,0,0,0-1000
240,0,0,0,0-1000
241,0,0,0,0-1000
242,0,0,0,0-1000
243,0,0,0,0-1000
244,0,0,0,0-1000
245,0,0,0,0-1000
246,0,0,0,0-1000
247,0,0,0,0-1000
248,0,0,0,0-1000
249,0,0,0,0-1000
250,0,0,0,0-1000
251,0,0,0,0-1000
252,0,0,0,0-1000
253,0,0,0,0-1000
254,0,0,0,0-1000
255,0,0,0,0-1000
256,0,0,0,0-1000
257,0,0,0,0-1000
258,0,0,0,0-1000
259,0,0,0,0-1000
260,0,0,0,0-1000
261,0,0,0,0-1000
262,0,0,0,0-1000
263,0,0,0,0-1000
264,0,0,0,0-1000
265,0,0,0,0-1000
266,0,0,0,0-1000
267,0,0,0,0-1000
268,0,0,0,0-1000
269,0,0,0,0-1000
270,0,0,0,0-1000
271,0,0,0,0-1000
272,0,0,0,0-1000
273,0,0,0,0-1000
274,0,0,0,0-1000
275,0,0,0,0-1000
276,0,0,0,0-1000
277,1,1,33,2000-3000
278,0,0,0,0-1000
279,0,0,0,0-1000
280,0,0,0,0-1000
281,0,0,0,0-1000
282,0,0,0,0-1000
283,0,0,0,0-1000
284,0,0,0,0-1000
285,0,0,0,0-1000
286,0,0,0,0-1000
287,0,0,0,0-1000
288,0,0,0,0-1000
289,0,0,0,0-1000
290,0,0,0,0-1000
291,0,0,0,0-1000
292,0,0,0,0-1000
293,0,0,0,0-1000
294,0,0,0,0-1000
295,0,0,0,0-1000
296,0,0,0,0-1000
297,0,0,0,0-1000
298,0,0,0,0-1000
299,0,0,0,0-1000
300,0,0,0,1000-2000
301,0,0,0,0-1000
302,1,0,0,3000-4000
303,0,0,0,0-1000
304,0,0,0,0-1000
305,0,0,0,0-1000
306,0,0,0,0-1000
307,0,0,0,0-1000
308,0,0,0,0-1000
309,0,0,0,0-1000
310,0,0,0,0-1000
311,0,0,0,0-1000
312,0,0,0,0-1000
313,0,0,0,0-1000
314,0,0,0,0-1000
315,0,0,0,0-1000
316,0,0,0,0-1000
317,0,0,0,0-1000
318,0,0,0,0-1000
319,0,0,0,0-1000
320,0,0,0,0-1000
321,0,0,0,0-1000
322,0,0,0,0-1000
323,0,0,0,0-1000
324,0,1,42,0-1000
325,0,0,0,0-1000
326,1,0,0,2000-3000
327,0,0,0,0-1000
328,0,0,0,0-1000
329,0,0,0,0-1000
330,0,0,0,0-1000
331,0,0,0,0-1000
332,0,0,0,0-1000
333,0,0,0,0-1000
334,0,0,0,0-1000
335,0,0,0,0-1000
336,0,0,0,0-1000
337,0,0,0,0-1000
338,0,0,0,0-1000
339,0,0,0,0-1000
340,0,0,0,0-1000
341,0,0,0,2000-3000
342,0,0,0,1000-2000
343,0,0,0,0-1000
344,1,0,0,0-1000
345,0,0,0,0-1000
346,0,0,0,0-1000
347,0,0,0,0-1000
348,1,1,41,3000-4000
349,0,0,0,0-1000
350,0,0,0,0-1000
351,0,0,0,0-1000
352,0,0,0,0-1000
353,0,0,0,0-1000
354,0,0,0,2000-3000
355,0,0,0,0-1000
356,0,0,0,1000-2000
357,0,0,0,0-1000
358,0,0,0,0-1000
359,0,0,0,0-1000
360,0,0,0,0-1000
361,0,0,0,0-1000
362,0,0,0,5000-max
363,1,1,22,2000-3000
364,0,0,0,0-1000
365,0,0,0,0-1000
366,0,0,0,0-1000
367,0,0,0,0-1000
368,0,0,0,1000-2000
369,0,0,0,0-1000
370,0,0,0,1000-2000
371,0,0,0,0-1000
372,0,0,0,0-1000
373,0,1,35,1000-2000
374,0,0,0,0-1000
375,0,0,0,0-1000
376,0,0,0,0-1000
377,0,0,0,0-1000
378,0,0,0,0-1000
379,0,0,0,0-1000
380,0,0,0,3000-4000
381,0,0,0,0-1000
382,0,0,0,0-1000
383,0,0,0,0-1000
384,0,0,0,0-1000
385,0,0,0,2000-3000
386,0,0,0,0-1000
387,1,0,0,0-1000
388,0,0,0,4000-5000
389,0,0,0,0-1000
390,0,0,0,0-1000
391,0,0,0,0-1000
392,0,0,0,0-1000
393,0,0,0,2000-3000
394,1,0,0,0-1000
395,0,1,37,2000-3000
396,1,0,0,0-1000
397,0,0,0,1000-2000
398,0,0,0,0-1000
399,0,1,24,3000-4000
400,0,0,0,2000-3000
401,0,0,0,1000-2000
402,0,0,0,0-1000
403,0,0,0,0-1000
404,0,0,0,0-1000
405,0,0,0,5000-max
406,0,0,0,0-1000
407,0,0,0,0-1000
408,0,0,0,0-1000
409,0,0,0,0-1000
410,0,0,0,0-1000
411,0,0,0,0-1000
412,0,0,0,0-1000
413,0,0,0,0-1000
414,0,0,0,0-1000
415,0,0,0,0-1000
416,0,0,0,2000-3000
417,0,0,0,0-1000
418,0,0,0,0-1000
419,0,0,0,0-1000
420,0,0,0,0-1000
421,0,0,0,0-1000
422,0,0,0,0-1000
423,0,0,0,0-1000
424,0,0,0,3000-4000
425,0,0,0,0-1000
426,0,0,0,5000-max
427,0,0,0,0-1000
428,0,0,0,0-1000
429,0,0,0,0-1000
430,0,0,0,0-1000
431,0,0,0,0-1000
432,0,0,0,0-1000
433,0,0,0,0-1000
434,1,1,40,1000-2000
435,0,0,0,0-1000
436,0,0,0,0-1000
437,0,0,0,1000-2000
438,0,0,0,5000-max
439,0,0,0,0-1000
440,0,0,0,0-1000
441,0,1,19,3000-4000
442,0,0,0,1000-2000
443,0,0,0,0-1000
444,0,0,0,5000-max
445,0,0,0,1000-2000
446,0,1,32,2000-3000
447,0,0,0,0-1000
448,0,0,0,0-1000
449,0,0,0,0-1000
450,1,1,42,2000-3000
451,0,0,0,0-1000
452,0,0,0,5000-max
453,0,0,0,0-1000
454,0,0,0,0-1000
455,0,0,0,0-1000
456,0,0,0,0-1000
457,0,0,0,0-1000
458,0,0,0,0-1000
459,0,1,10,3000-4000
460,0,0,0,0-1000
461,0,0,0,0-1000
462,0,0,0,0-1000
463,0,0,0,0-1000
464,0,0,0,1000-2000
465,0,0,0,0-1000
466,1,1,31,0-1000
467,0,0,0,1000-2000
468,0,0,0,1000-2000
469,0,0,0,0-1000
470,0,0,0,0-1000
471,1,1,31,1000-2000
472,0,0,0,0-1000
473,0,0,0,0-1000
474,0,0,0,0-1000
475,0,0,0,0-1000
476,0,0,0,0-1000
477,0,0,0,0-1000
478,0,0,0,0-1000
